Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2017,2100,DEPT OF THE ARMY,B550,SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,"$167,988.00 ",$0.00 ,$0.00 ,"$167,988.00 ",2 ,2 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$1,662,229.77 ","$6,787,129.45 ",$0.00 ,"$1,662,229.77 ",4 ,4 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"($321,525.46)","($2,191,655.46)",$0.00 ,"($321,525.46)",38 ,38 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($235,004.38)","($235,004.38)",$0.00 ,"($235,004.38)",1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,"($11,625,260.93)","($11,625,260.93)",$0.00 ,"($11,625,260.93)",1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,"($12,653,658.41)","($12,653,658.41)",$0.00 ,"($12,653,658.41)",5 ,5 
2017,2100,DEPT OF THE ARMY,D310,IT AND TELECOM- CYBER SECURITY AND DATA BACKUP,"$100,000.00 ","$100,000.00 ",$0.00 ,"$100,000.00 ",1 ,1 
2017,2100,DEPT OF THE ARMY,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$35,282,998.30 ","$750,634,223.00 ",$0.00 ,"$35,282,998.30 ",7 ,7 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,J058,"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($1,601,517.22)","($1,601,517.22)",$0.00 ,"($1,601,517.22)",3 ,3 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,($0.01),($0.01),$0.00 ,($0.01),3 ,3 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"$1,312.00 ","$2,991.00 ",$0.00 ,"$1,312.00 ",2 ,2 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$2,171,160.00 ","$2,171,160.00 ",$0.00 ,"$2,171,160.00 ",1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"$33,659,204.01 ","$7,368,466.49 ",$0.00 ,"$33,659,204.01 ",228 ,228 
2017,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$2,700,703.84 ","$2,700,703.84 ",$0.00 ,"$2,700,703.84 ",2 ,2 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$15,441,950.35 ","$21,423,058.81 ","$139,725.36 ","$14,675,275.27 ",144 ,144 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$2,052,643.81 ","$1,407,537.85 ",$0.00 ,"$1,345,574.98 ",12 ,12 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$44,792,128.93 ","($748,743.57)","($381,495.05)","$44,792,128.93 ",569 ,569 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"$11,952,014.00 ","$12,654,700.94 ",$0.00 ,"$7,738,040.00 ",5 ,5 
2017,2100,DEPT OF THE ARMY,T014,PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY,"$12,825,522.00 ","$12,825,522.00 ",$0.00 ,"$6,450,000.00 ",7 ,7 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,X129,LEASE-RENT OF OTHER AIRFIELD STRUCT,"$4,810.00 ",$0.00 ,$0.00 ,"$4,810.00 ",1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,"$6,747.00 ","$1,305.00 ",$0.00 ,"$6,747.00 ",4 ,4 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$424,740.00 ","$424,740.00 ",$0.00 ,"$424,740.00 ",5 ,5 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,5 ,5 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$72,012,925.00 ","$72,012,925.00 ",$0.00 ,"$72,012,925.00 ",6 ,6 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,Z2BE,REPAIR OR ALTERATION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2018,2100,DEPT OF THE ARMY,1005,"GUNS, THROUGH 30MM","$12,135,574.02 ","$12,135,574.02 ",$0.00 ,"$12,135,574.02 ",14 ,14 
2018,2100,DEPT OF THE ARMY,1095,MISCELLANEOUS WEAPONS,"$17,388,486.00 ","$17,388,486.00 ",$0.00 ,"$17,388,486.00 ",8 ,8 
2018,1700,DEPT OF THE NAVY,1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT,"$1,035,106.00 ","$1,035,106.00 ",$0.00 ,"$1,035,106.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,1370,PYROTECHNICS,"$5,900,000.00 ","$5,900,000.00 ","$3,975,000.00 ","$5,900,000.00 ",3 ,3 
2018,2100,DEPT OF THE ARMY,1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT,"$1,680,293.00 ","$1,680,293.00 ",$0.00 ,"$1,680,293.00 ",3 ,3 
2018,2100,DEPT OF THE ARMY,1410,GUIDED MISSILES,"$17,800,000.00 ","$17,800,000.00 ",$0.00 ,"$17,800,000.00 ",2 ,2 
2018,1700,DEPT OF THE NAVY,1440,"LAUNCHERS, GUIDED MISSILE","$90,000.00 ","$90,000.00 ",$0.00 ,"$90,000.00 ",4 ,4 
2018,2100,DEPT OF THE ARMY,1510,"AIRCRAFT, FIXED WING","$14,796,000.00 ","$15,796,000.00 ",$0.00 ,"$13,796,000.00 ",6 ,6 
2018,5700,DEPT OF THE AIR FORCE,1510,"AIRCRAFT, FIXED WING","$354,028.00 ","$354,028.00 ","$354,028.00 ","$354,028.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,1725,SPACE VEHICLE LAUNCHERS,"$4,860,000.00 ","$4,860,000.00 ",$0.00 ,"$4,860,000.00 ",3 ,3 
2018,5700,DEPT OF THE AIR FORCE,2845,ROCKET ENGINES AND COMPONENTS,"$290,088,786.00 ","$290,088,786.00 ","$90,840,007.00 ","$278,151,321.00 ",15 ,15 
2018,5700,DEPT OF THE AIR FORCE,3990,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,"$38,076.00 ","$38,076.00 ",$0.00 ,"$38,076.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,327,532.54 ","$1,327,532.54 ",$0.00 ,"$1,327,532.54 ",4 ,4 
2018,2100,DEPT OF THE ARMY,5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE","$13,024,232.00 ","$13,024,232.00 ",$0.00 ,"$13,024,232.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,"$4,569,000.00 ","$4,569,000.00 ",$0.00 ,"$4,569,000.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,6115,"GENERATORS AND GENERATOR SETS, ELECTRICAL","$5,500,000.00 ","$5,500,000.00 ",$0.00 ,"$5,500,000.00 ",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE",$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,6910,TRAINING AIDS,"$17,542,730.78 ","$32,655,665.19 ",$0.00 ,"$8,626,964.04 ",16 ,16 
2018,1700,DEPT OF THE NAVY,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,"$10,000,000.00 ","$10,000,000.00 ",$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,7030,INFORMATION TECHNOLOGY SOFTWARE,"$37,766,728.00 ","$2,800,000.00 ",$0.00 ,"$37,766,728.00 ",8 ,8 
2018,5700,DEPT OF THE AIR FORCE,7030,INFORMATION TECHNOLOGY SOFTWARE,"$47,537,079.00 ","$47,537,079.00 ",$0.00 ,"$26,843,760.00 ",6 ,6 
2018,2100,DEPT OF THE ARMY,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,"$29,584,885.44 ",$0.00 ,$0.00 ,"$29,584,885.44 ",7 ,7 
2018,2100,DEPT OF THE ARMY,9999,MISCELLANEOUS ITEMS,"$17,354,176.00 ","$1,904,999,244.04 ",$0.00 ,"$17,354,176.00 ",11 ,11 
2018,2100,DEPT OF THE ARMY,AC12,R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,524,968.00 ","$3,301,864.63 ",$0.00 ,"$1,524,968.00 ",2 ,2 
2018,5700,DEPT OF THE AIR FORCE,AC14,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),"$6,000,000.00 ","$6,000,000.00 ","$11,951,381.00 ","$6,000,000.00 ",4 ,4 
2018,5700,DEPT OF THE AIR FORCE,AC22,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$500,000,000.00 ","$500,000,000.00 ",$0.00 ,"$55,687,960.00 ",15 ,15 
2018,1700,DEPT OF THE NAVY,AC24,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),"$750,510.19 ","$750,510.19 ",$0.00 ,"$97,688.71 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AC41,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH),"$31,883,117.71 ",$0.00 ,$0.00 ,"$31,883,117.71 ",31 ,31 
2018,5700,DEPT OF THE AIR FORCE,AC52,R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,200,000.00 ","$1,200,000.00 ",$0.00 ,"$600,000.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$2,123,266,593.26 ","$20,741,486,257.98 ",$0.00 ,"$2,123,266,593.26 ",128 ,128 
2018,1700,DEPT OF THE NAVY,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$4,990,374.00 ","$4,990,374.00 ",$0.00 ,"$4,990,374.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,791,932.00 ","$1,791,932.00 ",$0.00 ,"$1,791,932.00 ",6 ,6 
2018,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),$0.00 ,"$50,000,000.00 ",$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,AC66,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT),"$13,024,232.00 ","$13,024,232.00 ",$0.00 ,"$13,024,232.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AC95,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT),"$4,565,900.00 ","$15,097,420.00 ",$0.00 ,"$4,565,900.00 ",3 ,3 
2018,1700,DEPT OF THE NAVY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$60,000,000.00 ","$60,000,000.00 ",$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$121,929,955.65 ","$121,929,955.65 ",$0.00 ,"$63,490,167.63 ",28 ,28 
2018,2100,DEPT OF THE ARMY,AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),"$20,640,220.31 ","$21,496,212.31 ",$0.00 ,"$20,640,220.31 ",7 ,7 
2018,2100,DEPT OF THE ARMY,AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),"$198,104.50 ","$198,104.50 ",$0.00 ,"$198,104.50 ",3 ,3 
2018,2100,DEPT OF THE ARMY,AD27,R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED),"$3,475,860.34 ","$3,475,860.34 ",$0.00 ,"$3,475,860.34 ",6 ,6 
2018,2100,DEPT OF THE ARMY,AD33,R&D- DEFENSE OTHER: SUBSISTENCE (ADVANCED DEVELOPMENT),"$187,084.00 ","$187,084.00 ",$0.00 ,"$187,084.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AD44,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT),"$70,800.00 ","$70,800.00 ",$0.00 ,"$70,800.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$21,132,066.40 ","$28,632,066.40 ",$0.00 ,"$16,132,066.40 ",10 ,10 
2018,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$16,229,438.00 ","$26,443,447.00 ","$332,236.00 ","$10,857,389.00 ",38 ,38 
2018,1700,DEPT OF THE NAVY,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,"$100,000,000.00 ",$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$264,000.00 ","$150,000.00 ",$0.00 ,"$964,000.00 ",6 ,6 
2018,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$154,141,080.38 ","$150,000,000.00 ",$0.00 ,"$50,071,081.38 ",44 ,44 
2018,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"($24,809.33)",4 ,4 
2018,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$59,741,737.76 ","$52,788,185.76 ","$5,537,186.71 ","$77,336,743.00 ",71 ,71 
2018,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$26,184,940.00 ","$41,056,138.00 ","$16,214,190.00 ","$25,533,000.00 ",6 ,6 
2018,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$84,193,417.40 ","$40,474,718.93 ","$19,995,205.20 ","$194,621,747.47 ",48 ,48 
2018,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$213,869,306.00 ","$2,140,652,891.00 ",$0.00 ,"$181,833,235.16 ",55 ,55 
2018,97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$60,353,344.00 ","$60,353,344.00 ",$0.00 ,"$45,000,000.00 ",3 ,3 
2018,2100,DEPT OF THE ARMY,AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$16,774,438.27 ","$35,047,950.77 ",$0.00 ,"$10,474,438.27 ",9 ,9 
2018,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),$3.00 ,$0.00 ,$0.00 ,"$999,050.00 ",5 ,5 
2018,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$14,228,669.21 ","$14,228,669.21 ",$0.00 ,"$14,228,669.21 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AJ41,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH),"$4,112,774.00 ",$0.00 ,$0.00 ,"$4,112,774.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,AJ53,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT),"$1,270,906.17 ","$1,270,906.17 ",$0.00 ,"$1,270,906.17 ",5 ,5 
2018,2100,DEPT OF THE ARMY,AN12,R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$7,547,532.92 ","$11,158,376.92 ",$0.00 ,"$7,347,312.96 ",12 ,12 
2018,2100,DEPT OF THE ARMY,AN13,R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT),"$149,994.00 ","$149,994.00 ",$0.00 ,"$149,994.00 ",1 ,1 
2018,2100,DEPT OF THE ARMY,AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT),"$84,767,446.90 ","$86,538,959.90 ","$5,860,056.00 ","$44,035,190.74 ",22 ,22 
2018,2100,DEPT OF THE ARMY,AN94,R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT),"$217,758.00 ","$217,758.00 ","$312,598.00 ","$218,179.00 ",2 ,2 
2018,5700,DEPT OF THE AIR FORCE,AN95,R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$488,118.00 ","$488,118.00 ",$0.00 ,"$488,118.00 ",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,AS31,R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH),"$149,897.00 ",$0.00 ,$0.00 ,"$149,897.00 ",1 ,1 
2018,1406,DEPARTMENTAL OFFICES,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$74,394,898.25 ","$74,394,898.25 ",$0.00 ,"$42,651,086.20 ",8 ,8 
2018,2100,DEPT OF THE ARMY,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$85,145,716.72 ","$85,539,978.73 ",$0.00 ,"$34,852,700.72 ",48 ,48 
2018,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$200,000.00 ",$0.00 ,$0.00 ,"$200,000.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$269,178,220.93 ","$380,938,964.86 ",$0.00 ,"$187,883,454.95 ",41 ,41 
2018,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$12,296,285.71 ","$12,296,285.71 ",$0.00 ,"$12,296,285.71 ",77 ,77 
2018,2100,DEPT OF THE ARMY,AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$3,148,462.14 ","$9,903,304.12 ",$0.00 ,"$3,148,462.14 ",13 ,13 
2018,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$16,337,336.00 ","$16,337,336.00 ","$11,000,000.00 ","$94,064,918.00 ",10 ,10 
2018,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$1,286,424.00 ","$2,286,424.00 ","$3,400,000.00 ","$1,286,424.00 ",2 ,2 
2018,1700,DEPT OF THE NAVY,AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),"$209,539.00 ","$209,539.00 ",$0.00 ,"$209,539.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),"$15,642,518.54 ","$15,642,518.54 ",$0.00 ,"$9,910,860.16 ",10 ,10 
2018,97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),AZ15,R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),"$14,788,711.39 ","$32,203,705.55 ",$0.00 ,"$14,788,711.23 ",9 ,9 
2018,2100,DEPT OF THE ARMY,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$3,243,777.00 ","$6,758,333.00 ",$0.00 ,"$3,243,777.00 ",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$1,208,728.28 ","($72,496.64)",$0.00 ,"$1,208,728.28 ",2 ,2 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$125,539,469.05 ","$126,532,761.25 ","$4,859,910.65 ","$125,539,469.05 ",69 ,69 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2018,2100,DEPT OF THE ARMY,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,$0.00 ,$0.01 ,$0.01 ,$0.00 ,1 ,1 
2018,9776,USTRANSCOM,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,"$24,464,892.04 ","$24,464,892.04 ",$0.00 ,"$24,464,892.04 ",3 ,3 
2018,2100,DEPT OF THE ARMY,D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,"$511,314.00 ","$511,314.00 ",$0.00 ,"$511,314.00 ",2 ,2 
2018,2100,DEPT OF THE ARMY,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$10,638,167.22 ",$0.00 ,$0.00 ,"$10,638,167.22 ",9 ,9 
2018,5700,DEPT OF THE AIR FORCE,D325,IT AND TELECOM- DATA CENTERS AND STORAGE,"$121,728,432.18 ","$121,728,432.18 ",$0.00 ,"$107,900,000.00 ",2 ,2 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($367,984.45)","($367,984.45)","($21,399.00)","($367,984.45)",6 ,6 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"($875,683.37)","($875,683.37)",$0.00 ,"($875,683.37)",5 ,5 
2018,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$2,000,000.00 ","$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",2 ,2 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"$33,024,016.27 ","$1,494,808.14 ","($24,761.93)","$33,024,016.27 ",281 ,281 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,R615,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,$0.00 ,$0.01 ,$0.00 ,$0.00 ,1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$20,866,053.10 ","$32,143,266.18 ",($0.10),"$16,921,614.10 ",150 ,150 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,S119,UTILITIES- OTHER,"$72,281.64 ","$72,281.64 ",$0.00 ,"$72,281.64 ",2 ,2 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$1,619,901.64 ","$1,491,738.04 ",($0.10),"$604,406.90 ",8 ,8 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$44,196,034.99 ","$4,356,879.58 ","$201,156.09 ","$43,870,912.99 ","1,017 ","1,017 "
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"($1,773.78)","($1,773.78)",$0.00 ,"($1,773.78)",4 ,4 
2018,2100,DEPT OF THE ARMY,T014,PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY,"$5,935,000.00 ","$5,935,000.00 ",$0.00 ,"$10,435,000.00 ",7 ,7 
2018,2100,DEPT OF THE ARMY,V126,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,"$3,000,000.00 ","$3,000,000.00 ",$0.00 ,"$3,000,000.00 ",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,($23.00),($23.00),($23.00),($23.00),1 ,1 
